id,name,year,expansion,minplayers,maxplayers,bestminnumplayers,bestmaxnumplayers,rminnumplayers,rmaxnumplayers,age,averageweight,minplaytime,maxplaytime,url
36,Federation & Empire,1986,0,2,8,2,2,2,8,12,4.4,300,300,36/federation-empire
40,Borderlands,1982,0,2,4,4,4,3,4,12,2.78,120,120,40/borderlands
41,Can't Stop,1980,0,2,4,3,3,2,4,9,1.15,30,30,41/cant-stop
42,Tigris & Euphrates,1997,0,2,4,4,4,2,4,12,3.51,90,90,42/tigris-euphrates
43,Airlines,1990,0,2,6,4,4,4,6,12,2.42,90,90,43/airlines
44,David & Goliath,1997,0,3,6,4,4,3,6,8,1.63,60,60,44/david-goliath
45,Perudo,1800,0,2,6,5,6,3,6,8,1.26,15,30,45/perudo
46,Medici,1995,0,2,6,5,6,4,6,10,2.26,60,60,46/medici
47,Chinatown,1999,0,3,5,5,5,4,5,12,2.27,60,60,47/chinatown
48,Krieg und Frieden,1999,0,2,4,4,4,3,4,12,2.46,90,90,48/krieg-und-frieden
49,Mamma Mia!,1998,0,2,5,4,4,2,5,10,1.37,30,30,49/mamma-mia
50,Lost Cities,1999,0,2,2,2,2,2,2,10,1.49,30,30,50/lost-cities
51,Ricochet Robots,1999,0,1,99,4,6,1,12,10,2.41,30,30,51/ricochet-robots
54,Tikal,1999,0,2,4,4,4,2,4,10,2.79,90,90,54/tikal
57,Schoko & Co.,1987,0,2,4,4,4,2,4,13,2.91,180,180,57/schoko-co
58,Kings & Things,1986,0,2,4,4,4,2,4,12,2.64,120,120,58/kings-things
59,Giganten,1999,0,3,4,4,4,3,4,10,2.57,90,90,59/giganten
60,Vinci,1999,0,3,6,4,4,3,5,14,2.78,120,120,60/vinci
61,Fossil,1998,0,2,6,3,3,2,5,10,1.75,40,40,61/fossil
62,Curse of the Mummy's Tomb,1988,0,1,4,3,4,3,4,12,1.88,120,120,62/curse-mummys-tomb
63,Samurai: Game of Politics and Warfare in Feudal Japan,1979,0,2,8,4,4,3,4,12,2.63,180,180,63/samurai-game-politics-and-warfare-feudal-japan
64,Joan of Arc,1998,0,3,6,5,5,4,6,12,2.54,180,180,64/joan-arc
66,Löwenherz,1997,0,2,4,4,4,3,4,12,2.93,90,90,66/lowenherz
67,Conquest,1974,0,2,4,2,2,2,2,10,2.5,120,120,67/conquest
68,Successors (First/Second Edition),1997,0,2,4,4,4,3,4,12,3.19,180,180,68/successors-firstsecond-edition
69,Bollox,1999,0,2,2,2,2,2,2,10,2.4,20,20,69/bollox
70,Big City,1999,0,2,5,3,3,2,4,10,2.22,60,60,70/big-city
71,Civilization,1980,0,2,7,7,7,4,7,12,3.66,360,360,71/civilization
72,Verräter,1998,0,3,4,4,4,3,4,12,2.57,60,60,72/verrater
73,Show Manager,1996,0,2,6,5,6,3,6,10,2.09,60,60,73/show-manager
74,Apples to Apples,1999,0,4,10,6,8,4,10,12,1.16,30,30,74/apples-apples
75,Falling,1998,0,4,8,6,6,4,8,8,1.22,5,5,75/falling
76,Air Baron,1996,0,2,6,5,5,3,6,10,2.55,120,120,76/air-baron
77,EastFront,1991,0,2,2,2,2,2,2,12,3.59,240,240,77/eastfront
