gameid,name
674,Edward Niecikowski|David M. Niecikowski
675,John A. Ball|Ray Carew|Keith Warburton
676,Robert A. Kukla
677,Randall Horn
678,Cary Vernon|Curtis Vernon
679,Lester Smith
680,Brad Stock
681,Blaise Muller
683,George Marino
684,Phil Orbanes Sr.
685,Joli Quentin Kansil
686,Wolfgang Werner
687,Roland Siegers
688,Richard H. Berg
689,Uncredited
690,Charles T. Kamps|David James Ritchie
691,Dirk Henn
692,Tom Dalgliesh|Grant Dalgliesh
695,Thomas Naylor
696,James Ernest
697,Eric Solomon
698,R. Hunter Gough
699,Stephen Baker
700,Stephen Baker
701,Frank Chadwick|Alan Emrich
702,Mark Acres
703,Joseph Miranda
704,Dominique Ehrhard
705,Joseph Miranda
706,Edward Curran|Frank Davis
707,Dean Webb
708,Joseph Miranda
709,Tracy Hickman|Douglas Niles
710,Tom Wham
711,Alan R. Moon
712,Jervis Johnson
713,Douglas Malewicki
714,Robert Harris
715,"Bob Brechin|Brian Degas|Major P.R. Reid M.B.E., M.C."
716,Uncredited
718,Don Greenwood|Reiner Knizia
719,Karl-Heinz Schmiel
720,Thomas Lehmann
721,Leonard H. Kanterman|Steven J. Ulberg
722,Jim Winslow
723,Richard Borg
724,Troy Denning
725,Doug Spohn
727,Bob Fowler
728,Joseph Miranda
730,Don Greenwood|James Stahler
731,"David ""Zeb"" Cook|Harold Johnson"
732,Charlie Paul|Bob Paul
733,Charlie Paul|Bob Paul
734,Charlie Paul|Bob Paul
735,Mary Couzin|June Fobes Keeley
736,Thorsten Löpmann|Andreas Wetter
738,Dean Flanders
739,Uncredited
740,Richard H. Berg
741,Joseph Miranda
742,Joseph Miranda
744,Uncredited
745,John Astell|Mark Royer
746,Jim Dunnigan
747,Randy Heller
748,David L. Smith
749,Corné van Moorsel
750,Francis Tresham
751,H. Jean Vanaise
752,Eric Canfield
753,John Prados
754,Claude Duvernay
755,Courtney F. Allen
756,Gilbert Obermair
757,Matt Leacock
758,Rick Heli|Phil Vogt
759,Don Greenwood
760,Reiner Knizia
761,James Ernest
762,Uncredited|Eric Kriser|Chuck Wilhelm
764,Tim Walsh|Terry White
765,Rüdiger Dorn
766,"G. W. ""Jerry"" D'Arcey|David D'Arcey|Frank Thibault"
767,Richard Breese
768,Richard Breese
769,Matthew Colville|Darrell Hardy|Christian Moore|Christian T. Petersen
770,Reiner Knizia
771,Gary Dicken|Steve Kendall|Phil Kendall
772,Hajo Bücken
773,Klaus Palesch
774,Edith Grein-Böttcher
775,Michael Schacht
776,Klaus Palesch
778,Nicole Thomsen
780,M. K. Morrison
781,Uncredited
782,Thomas M. Divoll|John B. Reilly
783,Kristan Lawson|Herbert R. Lawson
784,Brian Astle|Christopher Gallagher
785,Evan Jones
786,Marc-Éric Gervais|Pascale Loiseau|Georges Daniel Volpilhac
787,Walter Ziser
788,Brad Freeman|Eric Goldberg|Doug Kaufman|Kevin Maroney|Ken Rolston
789,Sid Sackson
790,Wolfgang Kramer
791,Hartmut Witt
792,Steve Baldwin II
793,Sean McGuire|Thomas McGuire
794,Frederick A. Herschler
795,Michael S. Dobson|Scott Haring|Warren Spector
796,Steve Barnes I|Dave O'Connor|Steve Utick|Peter Wyche
797,Roland Siegers
798,Doug Kaufman|Alfred Leonardi
799,Jesper Myrfors|John Scott Tynes
800,Jon De Young|Caleb Ferling|Scott Holgate
801,Steven Ross
802,Joseph Miranda
803,Willis P. Carpenter|Garrett J. Donner|Michael S. Steer
804,Jim Keifer
805,Rob Daviau|Bill Sabram|Craig Van Ness
806,Han Heidema
808,Ed Okimura
810,W. Barrington Pink
811,Ephraim Hertzano
813,Craig Van Ness
814,Andrew Looney
815,Andrew Looney
816,James Hlavaty|Thomas Lehmann
819,Volker Tietze
820,Michael Seal
821,Richard K Morgan
822,Klaus-Jürgen Wrede
823,Reiner Knizia
824,Martin H. Samuel
825,Jim Keifer
826,Leo Colovini
827,Karl-Heinz Schmiel
828,Thomas J. Mosbø|Coral J. F. Mosbø
829,Dan Smith
830,Frank Sobyak
831,Peter Wichmann
833,Mark Herman
834,Jane Ruemmele
835,"Drakes, Jarvis, Walsh, and Gluck, Ltd."
836,John Bohrer|Martin Wallace
840,Thorsten Löpmann|Andreas Wetter
841,Stefan Dorra
843,Dean Essig
844,R. Hunter Gough
847,Fred Buestchler
848,Michael Schacht
849,Oliver Bolten|Rolf Rötgers
852,Klaus Teuber
853,Martin Wallace
854,Leo Colovini
855,Michael Kiesling|Wolfgang Kramer
856,Wolfgang Kramer
857,Bernhard Naegele
858,Michael Schacht
859,Steve Jackson I
860,William Sariego
861,Uncredited
864,Kevin Barrett|Jordan Weisman
865,Uncredited
866,Don Wilson
867,Corné van Moorsel
868,Jean du Poël
869,Bruno Faidutti
870,Martin Wallace
871,Werner Falkhof|Michael Sohre
872,Martin Schlegel
873,Hartmut Kommerell
874,Bodo Formes
875,Jeroen Doumen|Joris Wiersinga
876,Oliver Bolten|Rolf Rötgers
877,Thomas Fackler
878,Richard Borg|Mike Fitzgerald
879,Peter Eggert
882,Dirk Henn
883,Reiner Knizia|Andy Lewis
884,Martin Wallace
886,Günter Cornett
890,Nile Christian|Curtis Cooper|Brady Cooper
891,Whit Alexander|Richard Tait
892,Uncredited
893,Charles E. Inman|Gwendolyn S. Kearley
894,Diane Doherty|Jim Doherty
895,Dick Seitz
896,Uncredited|Cathy Rondeau Dobosz
897,Uncredited
898,Uncredited
899,Uncredited
900,Wolfgang Kramer|Andreas Spottog
902,Marcel-André Casasola Merkle
903,Jacques Zeimet
904,Reiner Knizia
905,Peter Forbes|Brian Taylor
906,Roland Siegers
907,Uncredited
908,Rudi Hoffmann
909,Werner Falkhof
910,Karl-Heinz Schmiel
911,Anthony F. Buccini|Jim Dunnigan|Redmond A. Simonsen
912,Tom Dalgliesh
913,Hanno Girke|Uwe Rosenberg
914,Dan Verssen
915,Bruno Faidutti|Serge Laget
916,Wolfgang Kramer
917,Uncredited
920,Brian Hersch
923,Pierre Jacquot
925,Dimitry Davidoff|Andrew Plotkin
926,Klaus Teuber
927,Marcel-André Casasola Merkle
928,Hartmut Witt
929,Richard Garfield
930,Michael Schacht
931,Sid Sackson
932,Wolfgang Kramer
933,Herbert Schützdeller
934,Martin Ebel
935,Larry Roznai|Loren Roznai
936,Stephen Hand
937,Francis Tresham
938,Michel Matschoss|Alex Randolph
939,Rob Daviau|Alan Roach|Craig Van Ness
940,Andreas Bartl|Andreas Bernabe|Norbert Grill
941,Friedemann Friese
942,Pascal Bernard
943,Michael Michaels
944,Christian T. Petersen|Anders M. Petersen
945,Darren Loughlin
946,A. Davis|G. Tomlinson|Gerry Tomlinson
947,Uncredited
948,Jeff Pickering|Ben VanBuskirk
949,Alex Randolph
950,Frank Branham|Sandi West
951,Thomas N. Shaw
954,Alan R. Moon
955,Alex Strang
956,Pascal Bernard
957,Max Michael
958,Greg Benage|Christian T. Petersen
959,Phil Eklund
960,Dayne T. Priester
961,Zoran Pavlovic
962,S. Schwab
963,Dirk Henn
964,Sean McGuire|Thomas McGuire
965,James Ernest
967,Nik Sewell
972,Tony Tullemans
975,James D. Griffin
979,Craig Van Ness
980,Uwe Rosenberg
982,Willis P. Carpenter|Garrett J. Donner|Michael S. Steer
983,Maurice Kanbar
984,Brian Hersch
985,Nigel Cochrane
986,Hagen Dorgathen|Uwe Rosenberg
987,Andrew McNeil
988,Heinz Meister|Klaus Zoch
989,Gerhard H. Kuhlmann
990,Gunnar Kuhlencord
992,Martin Davison
993,Hanno Kuhn|Wilfried Kuhn
994,Cordula Schau|Olaf Schroeder|Holger Thiesen
995,Uncredited
997,Günter Cornett
999,Hajo Bücken
1000,Alex Randolph
1001,Carlo Monticolombi
1002,Urs Hostettler
1003,Karl-Heinz Schmiel
1004,Johann Rüttinger
1005,Edith Schlichting
1006,Nik Sewell|Jeremy Shaw
1007,Tom Schoeps
1008,Manfred Franz
1010,Maike Jacobsen|Dirk Schleef
1011,Hartmut Witt
1012,Johann Rüttinger|Michael Rüttinger
1013,Jürgen Herz
1014,Philippe Mouchebeuf|Duccio Vitale
1015,Oliver Igelhaut|Tobias Krebs|Dominic Krebs
1016,Reinhard Staupe
1017,Friedemann Friese
1018,Oliver Igelhaut
1019,Serge Laget|Alain Munoz
1020,Mick Ado
1021,Alex Randolph
1023,Günter Burkhardt
1027,Valentin Herman
1028,Gerd Fenchel
1029,Karl-Heinz Schmiel
1031,Bruce Nash
1032,Glen Frank|Bruce Shelley
1033,Joseph Miranda
1035,John Hill I
1036,Dirk Henn
1037,Dave Williams II
1038,Mike McManaway
1041,Alan R. Moon|Aaron Weissblum
1042,Bruno Faidutti
1043,Spartaco Albertarelli|Angelo Zucca
1044,Richard Hamblen
1045,Gerhard E. Kodys
1046,Peter Neugebauer
1047,Anatol Holt
1050,Stefanie Rohner|Christian Wolf
1051,Hartmut Witt
1053,Alex Randolph
1054,Bob Carlsen
1055,Funtasy Factory
1056,Michael Schacht
1057,Ronald M. Corn
1058,Chris Bayliss
1061,Reinhold Wittig
1063,Urs Hostettler
1065,Edith Grein-Böttcher
1066,Jean-Louis Chantreau|C. LaCroix|Duccio Vitale
1068,Uncredited
1069,Michael Sohre
1070,Walter Kraul
1071,Niek Neuwahl
1072,Claude Weber
1073,Edith Grein-Böttcher
1075,Kai Schanzl|Mona Schüling
1076,Wolfgang Kramer
1077,Reinhold Wittig
1079,Zoltán Aczél
1080,Uncredited
1081,Stephen Baker|Roger Ford
1082,Kris Burm
1083,Michael Ganor|Avi Weiner
1084,Sylvie Barc|Juan Rodriguez
1085,Heinz Taufer
1086,Rüdiger Dorn
1087,Valentin Herman
1088,Nik Sewell
1089,Jim Winslow
1090,Hanno Kuhn|Wilfried Kuhn
1091,Michael Schacht
1092,Wolfgang Kramer
1093,Franz Josef Lamminger
1094,Chris Bayliss|Rex A. Martin
1095,Martin Drewes|Michael Palm
1096,A. Robert Moog
1097,Caveman
1098,Ian Livingstone
1099,Uncredited
1100,Alex Randolph
1101,Kurt Feyerabend|Elke Flogaus
1104,Arne Schepke
1105,Uwe Rosenberg
1107,Stefan Dorra
1109,Günter Burkhardt
1110,Michael Andersch
1111,Brian Hersch
1114,H. Georg Rausch
1115,Uncredited
1116,Geoffrey Mott-Smith
1117,Rüdiger Koltze
1120,Alex Randolph
1122,Alan D. Ernstein
1125,Alex Randolph
1126,Creede Lambard|Sharleen Lambard
1127,Uncredited
1129,Niek Neuwahl
1130,Jean du Poël
1132,Alex Randolph
1133,James Koplow
1134,Paul Bedford|Andrew Grigor
1135,Uncredited
1136,Edward Beck|Ingo Martin|Josef Ochmann
1137,Klaus Teuber
1138,David McKenzie|Barry Nakazono
1139,Tom Werneck
1140,Eric Solomon
1141,D. J. Stamper
1142,Uncredited
1143,Derek Carver
1144,Steve Jackson II
1145,Martyn Oliver|Colin Thornton
1146,Brad Stock
1147,Uncredited
1148,Uncredited
1149,Bruce Nesmith
1150,"Larry Harris, Jr."
1151,Troy McNair|Yvonne McNair
1152,Terence Peter Donnelly
1154,Uncredited
1155,Alan R. Moon|Aaron Weissblum
